     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3885500 2480500  1 10 10   1.3  999 108  0.3 7  4.0  96    0   33 275 -311  1
3885500 2480500  1 10 11   1.9 1000 112  1.8 7  4.2  97    0   63 277 -312  1
3885500 2480500  1 10 12   2.6 1000  60  1.1 7  4.4  98    0   57 278 -314  1
3885500 2480500  1 10 13   2.6 1000  70  2.5 8  4.6  99    0   28 286 -316  1
3885500 2480500  1 10 14   3.9  999  34  1.0 8  4.8  98    0   55 294 -319  1
3885500 2480500  1 10 15   4.0  999 345  1.0 8  5.0  97    0   37 297 -320  1
3885500 2480500  1 10 16   4.2  998 324  1.6 8  5.0  97   13   36 300 -320  1
3885500 2480500  1 10 17   4.4  998 313  1.0 8  5.1  97    0    8 301 -320  1
3885500 2480500  1 10 18   4.1  998 313  1.9 8  5.0  96    0    0 302 -319  1
3885500 2480500  1 10 19   4.0  998 342  0.3 7  5.0  96    0    0 295 -319  1
3885500 2480500  1 10 20   4.0  999 315  1.1 8  5.0  97    0    0 296 -319  1
3885500 2480500  1 10 21   4.1  999 305  1.2 7  5.0  97    0    0 298 -319  1
3885500 2480500  1 10 22   4.9  999 321  1.3 7  5.2  98    0    0 295 -320  1
3885500 2480500  1 10 23   4.4  999 314  1.9 7  5.3  98    0    0 297 -321  1
3885500 2480500  1 10 24   4.2  999 328  1.9 7  5.1  97    0    0 297 -322  1
3885500 2480500  1 11  1   4.2  999 334  2.6 6  5.0  96    0    0 292 -322  1
3885500 2480500  1 11  2   4.4  999 342  1.9 7  5.1  97    0    0 293 -323  1
3885500 2480500  1 11  3   4.3  999 335  1.1 7  5.1  97    0    0 301 -323  1
3885500 2480500  1 11  4   4.6 1000 289  1.9 8  5.2  98    0    0 307 -324  1
3885500 2480500  1 11  5   5.0 1000 312  2.5 6  5.3  98    0    0 303 -324  1
3885500 2480500  1 11  6   5.5 1000  24  1.1 8  5.4  97    0    0 305 -323  1
3885500 2480500  1 11  7   5.3 1001 318  1.1 8  5.5  97    0    0 317 -323  1
3885500 2480500  1 11  8   5.3 1001  14  2.5 8  5.5  97    0    0 318 -324  1
3885500 2480500  1 11  9   5.1 1002 353  2.5 8  5.4  97    0    3 318 -324  1
3885500 2480500  1 11 10   5.2 1003 355  2.6 8  5.4  97    0   42 317 -325  1
3885500 2480500  1 11 11   5.0 1003   6  3.3 6  5.4  97    2   82 306 -327  1
3885500 2480500  1 11 12   5.1 1004  34  2.7 7  5.4  98    0   61 299 -331  1
3885500 2480500  1 11 13   5.7 1004  31  3.4 8  5.6  99    0   53 311 -336  1
3885500 2480500  1 11 14   5.8 1004  32  4.1 7  5.7  99    0   55 311 -340  1
3885500 2480500  1 11 15   5.5 1005  36  3.5 8  5.6  98    0   37 310 -342  1
3885500 2480500  1 11 16   5.3 1005   8  4.2 8  5.5  97    0   21 315 -342  1
3885500 2480500  1 11 17   5.2 1005  28  5.0 6  5.4  96    0    9 305 -338  1
3885500 2480500  1 11 18   4.9 1006  26  4.3 7  5.3  97    0    0 299 -333  1
3885500 2480500  1 11 19   4.8 1006  30  4.3 8  5.3  98    0    0 309 -329  1
3885500 2480500  1 11 20   4.6 1007  29  4.3 7  5.2  97    0    0 308 -327  1
3885500 2480500  1 11 21   4.8 1007  31  5.1 8  5.2  97    0    0 307 -326  1
3885500 2480500  1 11 22   4.5 1007  32  4.4 7  5.1  95    0    0 307 -324  1
3885500 2480500  1 11 23   4.2 1008  33  5.9 8  4.8  93    0    0 307 -322  1
3885500 2480500  1 11 24   4.1 1008  28  5.9 8  4.7  92    0    0 311 -321  1
3885500 2480500  1 12  1   3.9 1008  39  5.3 7  4.6  91    0    0 305 -319  1
3885500 2480500  1 12  2   3.6 1008  39  6.7 8  4.5  90    0    0 305 -318  1
3885500 2480500  1 12  3   3.3 1008  51  4.8 8  4.4  90    0    0 309 -317  1
3885500 2480500  1 12  4   3.0 1008  38  6.6 8  4.3  90    0    0 308 -317  1
3885500 2480500  1 12  5   2.9 1008  35  5.3 8  4.2  90    0    0 309 -317  1
3885500 2480500  1 12  6   2.6 1008  31  6.0 7  4.2  91    0    0 303 -316  1
3885500 2480500  1 12  7   2.1 1009  41  5.9 8  4.1  91    0    0 302 -316  1
3885500 2480500  1 12  8   1.6 1009  47  6.0 8  3.9  90    0    0 305 -315  1
3885500 2480500  1 12  9   1.5 1010  43  5.9 7  3.8  89    0    8 298 -315  1
3885500 2480500  1 12 10   1.5 1010  48  5.1 8  3.7  87    0   46 297 -315  1
3885500 2480500  1 12 11   1.3 1011  42  5.9 8  3.6  85    0   59 303 -316  1
3885500 2480500  1 12 12   1.3 1011  50  5.3 8  3.5  84    0   65 301 -319  1
